pid,price,pname,description,selltype,seller,place,image,major,difficulty,ptype
347,10000,현대노동경제학: 이론과공공정책(10판),book,0,admin,Samsung library,,ECO,3,0
348,25000,Economic Development 12/E,book,0,admin,Samsung library,,ECO,3,0
349,39000,Environmental and Natural Resources Economics 9/E (Paperback),book,0,admin,Samsung library,,ECO,3,0
350,39000,Optics,book,0,admin,Samsung library,,EEE,3,0
351,18000,광학(4판),book,0,admin,Samsung library,,EEE,3,0
352,15000,광학(5판),book,0,admin,Samsung library,,EEE,3,0
353,15000,광학(OPTICS)(4판),book,0,admin,Samsung library,,EEE,3,0
354,12000,Computer Systems,book,0,admin,Samsung library,,SWE,2,0
355,15000,컴퓨터 시스템(3판),book,0,admin,Samsung library,,SWE,2,0
356,18000,Data Communications and Networking (Global Edition),book,0,admin,Samsung library,,SWE,3,0
357,8000,데이터베이스 개론(IT Cookbook 한빛 교재 시리즈 150),book,0,admin,Samsung library,,SWE,3,0
358,10000,데이터베이스 개론과 실습(오라클로 배우는),book,0,admin,Samsung library,,SWE,3,0
359,5000,프로그래밍 언어론(IT Coolbook 한빛교재시리즈 87)(양장본 HardCover),book,0,admin,Samsung library,,SWE,3,0
360,40000,Abnormal Psychology (GE),book,0,admin,Samsung library,,PSY,3,0
361,10000,현대 이상심리학(2판)(양장본 HardCover),book,0,admin,Samsung library,,PSY,3,0
362,15000,인지 심리학(4판),book,0,admin,Samsung library,,PSY,2,0
363,20000,인지심리학,book,0,admin,Samsung library,,PSY,2,0
364,10000,인지심리학(3판)(양장본 HardCover),book,0,admin,Samsung library,,PSY,2,0
365,18000,Exploring Social Psychology,book,0,admin,Samsung library,,PSY,2,0
366,25000,Exploring Social Psychology 6/E (Paperback),book,0,admin,Samsung library,,PSY,2,0
367,9000,정서심리학,book,0,admin,Samsung library,,PSY,2,0
368,6000,정서심리학(2판),book,0,admin,Samsung library,,PSY,2,0
369,23000,인지과학,book,0,admin,Samsung library,,PSY,3,0
370,18000,인지과학: 학문 간 융합의 원리와 응용(양장본 HardCover),book,0,admin,Samsung library,,PSY,3,0
371,15000,감각 및 지각심리학(9판)(Paperback),book,0,admin,Samsung library,,PSY,3,0
372,9000,성격심리학(12판),book,0,admin,Samsung library,,PSY,3,0
373,12000,Computer Science Illuminated,book,0,admin,Samsung library,,SWE,2,0
374,15000,Fundamentals of Communication Systems,book,0,admin,Samsung library,,EEE,3,0
375,37000,Automatic Control Systems (BK+CD),book,0,admin,Samsung library,,EEE,3,0
376,15000,Kuo의 자동제어(8판),book,0,admin,Samsung library,,EEE,3,0
377,3000,통계학: 이해와 응용(2판)(양장본 HardCover),book,0,admin,Samsung library,,SPT,3,0
